City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
230,van,20,TR,1557881400,65,38.51,43.37,46.4,2.68
231,pacifica,20,US,1557885778,82,37.61,-122.49,63.0,4.7
232,skole,99,UA,1557885796,84,49.04,23.51,46.99,3.44
233,dinajpur,0,BD,1557885977,76,25.63,88.63,82.45,13.98
234,nikolskoye,0,RU,1557885938,93,59.7,30.79,44.01,2.24
235,samarai,100,PG,1557885980,90,-10.62,150.67,80.31,3.22
236,teya,75,MX,1557885604,66,21.05,-89.07,87.8,12.75
237,dera bugti,96,PK,1557885981,26,29.03,69.15,88.52,6.13
238,fonte boa,100,BR,1557885981,86,-2.51,-66.09,77.65,2.57
239,colares,0,PT,1557885670,55,38.8,-9.45,68.0,8.84
240,kaitangata,99,NZ,1557885935,60,-46.28,169.85,52.0,28.01
241,omboue,100,GA,1557885982,81,-1.57,9.26,82.0,9.1
242,gubkinskiy,100,RU,1557885982,91,64.43,76.5,20.71,13.96
243,marabba,97,SD,1557885982,7,12.35,32.18,91.13,8.14
244,mitu,0,IR,1557885983,46,36.2,46.09,58.64,3.2
245,imbituva,25,BR,1557885983,95,-25.23,-50.6,54.28,5.14
246,caravelas,0,BR,1557885983,85,-17.73,-39.27,75.74,2.01
247,kruisfontein,4,ZA,1557885984,61,-34.0,24.73,61.34,5.48
248,alakurtti,11,RU,1557885360,96,66.96,30.34,28.0,5.57
249,port-gentil,100,GA,1557885984,81,-0.72,8.78,82.31,11.9
250,mbalmayo,49,CM,1557885985,96,3.52,11.5,71.1,1.92
251,sar-e pul,15,AF,1557885985,19,36.22,65.93,81.21,6.44
252,ullapool,89,GB,1557885907,92,57.9,-5.16,45.0,7.81
253,pinotepa de don luis,59,MX,1557885985,66,16.43,-97.98,77.43,2.39
254,te anau,97,NZ,1557885986,83,-45.41,167.72,40.1,11.95
255,aswan,0,EG,1557885986,8,24.09,32.9,83.61,7.7
256,price,1,US,1557885831,21,39.6,-110.81,71.6,5.82
257,saint-paul,0,FR,1557885906,56,45.22,1.9,48.0,2.24
258,vostok,10,RU,1557885987,31,46.45,135.83,71.58,10.2
259,mahibadhoo,37,MV,1557885987,71,3.78,72.97,85.93,11.68
260,saint-joseph,90,FR,1557885914,82,43.56,6.97,60.01,5.82
261,pangnirtung,92,CA,1557885988,66,66.15,-65.72,29.44,3.58
262,concordia,0,AR,1557885409,80,-31.4,-58.02,54.0,5.99
263,perigueux,0,FR,1557885708,57,45.18,0.72,52.0,4.7
264,pundaguitan,22,PH,1557885989,71,6.37,126.17,84.15,2.13
265,chokurdakh,96,RU,1557885989,89,70.62,147.9,18.19,4.72
266,moose factory,90,CA,1557882000,82,51.26,-80.61,55.4,9.17
267,bilma,46,NE,1557885990,14,18.69,12.92,86.31,6.2
268,grand-santi,100,GF,1557885990,99,4.27,-54.38,73.51,2.13
269,pishin,15,PK,1557885990,35,30.58,67.0,69.46,7.94
270,luderitz,0,NA,1557882000,100,-26.65,15.16,53.6,6.93
271,quang ngai,33,VN,1557885991,31,15.12,108.8,101.91,0.89
272,camocim,73,BR,1557885991,95,-2.9,-40.84,74.93,4.92
273,kamenka,100,RU,1557884306,70,53.19,44.05,66.99,5.5
274,englehart,90,CA,1557882000,51,47.82,-79.87,59.0,6.93
275,bridlington,7,GB,1557885966,87,54.08,-0.19,50.0,4.79
276,inuvik,5,CA,1557882000,42,68.36,-133.71,46.4,11.41
277,khandbari,0,NP,1557885992,47,27.38,87.21,60.24,4.38
278,itarema,61,BR,1557885993,91,-2.92,-39.92,76.12,3.83
279,hamilton,75,CA,1557885861,87,43.26,-79.87,52.0,6.93
280,buchanan,75,LR,1557882000,100,5.88,-10.05,77.0,9.95
281,deputatskiy,99,RU,1557885994,91,69.3,139.9,24.84,4.56
282,kabanjahe,40,ID,1557882000,100,3.1,98.49,78.8,3.36
283,ankazoabo,0,MG,1557885994,93,-22.29,44.51,58.51,4.34
284,dingle,35,PH,1557885995,42,11.0,122.67,94.33,6.08
285,pevek,78,RU,1557885995,74,69.7,170.27,19.94,3.67
286,batagay-alyta,93,RU,1557885995,95,67.8,130.41,27.34,4.25
287,sola,0,FI,1557885726,73,62.78,29.36,32.0,2.24
288,canelli,75,IT,1557885966,76,44.72,8.29,53.6,3.36
289,axim,100,GH,1557885996,85,4.87,-2.24,78.93,7.07
290,mount isa,0,AU,1557883800,45,-20.73,139.49,82.4,12.75
291,mahajanga,20,MG,1557882000,83,-15.72,46.32,71.6,4.7
292,porto walter,1,BR,1557885969,86,-8.27,-72.74,72.41,1.81
293,kasulu,49,TZ,1557885997,90,-4.57,30.11,62.02,3.76
294,linxia,95,CN,1557885998,46,35.6,103.21,54.03,4.83
